date,title,amount
2026-03-02,Uber Uber *Trip Help.U,11.02
2026-03-02,Oxxo Fisher,7.29
2026-03-02,Oxxo Fisher,7.79
2026-03-02,Uber Uber *Trip Help.U,11.18
2026-03-02,Filial - Taubate,52.90
2026-03-02,Uber Uber *Trip Help.U,11.19
2026-03-02,Nsa Taubate Comercio D,16.00
2026-03-02,Uber Uber *Trip Help.U,11.03
2026-03-02,Uber Uber *Trip Help.U,18.11
2026-03-01,Restaurante Panela Vel,34.50
2026-03-01,Uber Uber *Trip Help.U,10.48
2026-03-01,Drogasil2422,62.55
2026-03-01,Zul 1 Cartao 1y8msa,1.00
2026-02-28,Supermercado Fantastic,50.02
2026-02-27,Vila Racoes,125.90
2026-02-27,Oxxo Fisher,23.00
2026-02-27,Drogasil2422,58.37
2026-02-26,Grupo Casas Bahia - Parcela 1/10,254.71
2026-02-26,Uber Uber *Trip Help.U,7.47
2026-02-26,Resta Fogao A Lenha Re,55.20
2026-02-26,Uber Uber *Trip Help.U,10.78
2026-02-26,Mercadolivre*Realmais,22.60
2026-02-25,Oxxo Fisher,20.99
2026-02-25,Nsa Roseira Comercio D,55.00
2026-02-25,Uber Uber *Trip Help.U,1.91
2026-02-24,Oxxo Fisher,27.27
2026-02-24,Uber Uber *Trip Help.U,8.78
2026-02-24,Ligiamarciadesous,19.50
2026-02-23,Filial - Taubate,9.90
2026-02-23,Marvtaubate,53.00
2026-02-22,Uber Uber *Trip Help.U,11.98
2026-02-22,Dl*Google Google,9.99
2026-02-22,Alysonallan,74.00
2026-02-22,Passaro Marron - Parcela 1/3,22.43
2026-02-22,Zul 1 Cartao 1xpci7,1.00
2026-02-21,Mercado Jade,33.98
2026-02-21,Bodogami,116.60
2026-02-20,Oxxo Fisher,46.29
2026-02-20,Uber Uber *Trip Help.U,24.98
2026-02-20,Passaro Marron - Parcela 1/3,21.78
2026-02-20,Uber Uber *Trip Help.U,25.99
2026-02-20,Banca da Fabi,79.60
2026-02-20,Uber Uber *Trip Help.U,13.99
2026-02-18,Uber Uber *Trip Help.U,13.96
2026-02-18,Dm*Spotify,23.90
2026-02-18,Burger King,40.90
2026-02-17,Uber Uber *Trip Help.U,17.94
2026-02-17,Oxxo Fisher,15.58
2026-02-16,Mini Extra-5049,17.48
2026-02-16,Passaro Marron - Parcela 1/2,35.05
2026-02-16,Uber Uber *Trip Help.U,13.94
2026-02-16,Mini Extra-5049,10.27
2026-02-16,Passaro Marron - Parcela 1/3,21.78
2026-02-16,Carrefour Vieira de Ca,28.27
2026-02-15,Monteiro Manfredini,58.00
2026-02-15,Panobiancos Academia,129.90
2026-02-14,Oxxo Fisher,27.55
2026-02-14,Oxxo Fisher,32.00
2026-02-14,Uber Uber *Trip Help.U,7.93
2026-02-14,Drogasil2422,22.31
2026-02-13,Uber Uber *Trip Help.U,9.95
2026-02-13,Rafael Fonseca dos Anjos,82.61
2026-02-13,Burger King,40.90
2026-02-13,Uber Uber *Trip Help.U,10.94
2026-02-12,Mercadolivre*Mktessen - Parcela 1/2,20.29
2026-02-12,Uber Uber *Trip Help.U,8.95
2026-02-11,Ec *Melimais,9.90
2026-02-11,Uber Uber *Trip Help.U,10.97
2026-02-10,Paulo Roberto Tiburcio - 1/3,11.73
2026-02-10,LUIZ FERNANDO DE BRITO,4597.18
2026-02-10,Oxxo Fisher,23.00
2026-02-09,Uber Uber *Trip Help.U,11.96
2026-02-09,Nsa Roseira Comercio D,44.00
2026-02-08,Divino Fogao-Comida D,53.40
2026-02-08,Net Pgt*Fatura Claro,359.85
2026-02-08,Mercado*Mercadolivre,19.00
2026-02-07,Oxxo Fisher,14.29
2026-02-07,Emporiodavila,40.00
2026-02-07,Ppro *Microsoft,51.00
2026-02-07,Uber Uber *Trip Help.U,8.96
2026-02-07,Uber Uber *Trip Help.U,9.94
2026-02-06,Uber Uber *Trip Help.U,9.96
2026-02-06,Shopee *Shpstecnologia - Parcela 1/10,25.50
2026-02-06,Shopee *Shpstecnologia - Parcela 1/10,25.50
2026-02-05,Pagamento recebido,-2577.33
2026-02-04,Vila Racoes,244.90
2026-02-04,Oxxo Fisher,7.00
2026-02-04,Bmb *Sabesp,249.30
2026-02-03,Paulo Tiburcio - 2/3,10.87
2026-02-03,Pg *Universal Music St - Parcela 2/10,11.39
2026-02-03,Paulo Tiburcio - 3/3,10.59
2026-02-03,Uber Uber *Trip Help.U,9.95
2026-02-03,Mercadolivre*Arteuniv - Parcela 5/5,9.20
2026-02-03,Amazon Prime - Parcela 10/12,13.90
2026-02-03,Shein *Orivaldo Doniz - Parcela 3/3,25.43
2026-02-03,MARIA ISABEL PEREIRA - 3/3,10.74
2026-02-03,Ebn*Sonyplaystatn - Parcela 2/4,5.55
2026-02-03,Mercadolivre*Alan - Parcela 3/6,22.15
2026-02-03,Amazonmktplc*Anamariad - Parcela 9/10,191.54
2026-02-03,DIEGO FRANCISCO ALVES MORGADO - 3/3,34.61
2026-02-03,Passaro Marron - Parcela 2/3,6.06
2026-02-03,Shein *Sheincom - Parcela 3/3,77.45
2026-02-03,MARIA ISABEL PEREIRA - 3/3,10.65
2026-02-03,Mp *Orion - Parcela 8/12,134.99
2026-02-03,Shopee *Lookstreetwear - Parcela 3/3,15.37
2026-02-03,Passaro Marron - Parcela 2/3,6.40
