date,title,amount
2026-08-02,Dl*Uberrides,"9,97"
2026-08-01,Dl*Uberrides,"9,97"
2026-07-31,Mp *Cantina,"15,00"
2026-07-29,Christianrafael,"16,00"
2026-07-29,Pix no Crédito - Mateus Henrique Viana da Silva - 1/2,"7,23"
2026-07-27,Dl*Uberrides,"12,93"
2026-07-27,Metro*1t260726-Hw5o,"5,40"
2026-07-27,Passaro Marron,"70,40"
2026-07-26,Amelia,"8,00"
2026-07-26,Lanchonete Marcacao,"26,00"
2026-07-26,Casa Vila Buarque,"29,00"
2026-07-25,Dl*Uberrides,"32,93"
2026-07-25,Passaro Marron,"57,00"
2026-07-25,Metro*1t260724-Xlu7,"5,40"
2026-07-25,Amelia,"41,00"
2026-07-24,Ali Baba,"19,10"
2026-07-22,Dl*Google Google,"9,99"
2026-07-22,Mercadolivre*Nsns,"111,00"
2026-07-20,Passaro Marron,"70,40"
2026-07-20,Metro*1t260719-El8t,"5,40"
2026-07-20,Emv Metrô*131226511,"5,40"
2026-07-20,Dl*Uberrides,"12,99"
2026-07-20,3767 - Grsa Gr Pao de,"30,00"
2026-07-20,Mercado da Vila,"14,40"
2026-07-20,Metro*1t260719-5qyu,"5,40"
2026-07-19,Nova Alternativa,"35,91"
2026-07-19,Mercado da Vila,"51,11"
2026-07-19,Godere,"29,30"
2026-07-19,Ifd*Pizzaria Cerqueira,"30,90"
2026-07-19,Lekker Bar,"36,00"
2026-07-19,Blue Bar,"18,00"
2026-07-19,Lusimar Cardoso de Oli,"28,00"
2026-07-18,Dl*Uberrides,"35,94"
2026-07-18,Dm *Spotify,"23,90"
2026-07-18,Oxxo Fisher,"18,57"
2026-07-18,Minuto Pa,"17,89"
2026-07-18,Metro*1t260717-C2ab,"5,40"
2026-07-17,Oxxo Fisher,"12,78"
2026-07-16,A.T.I. Yokoyama,"9,13"
2026-07-16,Oxxo Fisher,"6,99"
2026-07-15,Oxxo Fisher,"6,99"
2026-07-15,A.T.I. Yokoyama,"14,10"
2026-07-14,Oxxo Fisher,"12,78"
2026-07-14,Db Pirueta Comercial L,"39,57"
2026-07-14,Dl*Uberrides,"18,98"
2026-07-14,Nsa Taubate Comercio D,"38,00"
2026-07-14,Dl *Uberrides,"19,93"
2026-07-13,Pasteis Matsuo,"17,00"
2026-07-13,Passaro Marron,"70,40"
2026-07-13,Dk Churrascaria e Res,"8,00"
2026-07-13,Dl *Uberrides,"12,99"
2026-07-13,Mp *Melimais,"9,90"
2026-07-13,Metro*1t260712-7xyl,"5,40"
2026-07-13,Uber Uber *Trip Help.U,"14,96"
2026-07-13,Doce Delicia,"20,00"
2026-07-12,Minuto Pa,"15,39"
2026-07-12,Minuto Pa,"30,59"
2026-07-11,Pg *Petiko,"73,90"
2026-07-11,Amelia,"49,00"
2026-07-11,Amelia,"29,00"
2026-07-11,Mercado da Vila,"25,95"
2026-07-10,Oxxo Fisher,"30,06"
2026-07-10,Passaro Marron,"54,00"
2026-07-10,Metro*1t260709-Qm4f,"5,40"
2026-07-10,Dl*Uberrides,"33,96"
2026-07-08,Gr Servicos e Alimenta,"27,80"
2026-07-08,Microsoft*Microsoft,"51,00"
2026-07-07,Oxxo Fisher,"28,58"
2026-07-07,"IOF de ""Openai *Chatgpt Subscr""","3,63"
2026-07-07,Openai *Chatgpt Subscr,"103,93"
2026-07-06,Passaro Marron,"74,90"
2026-07-06,Laifu Alimentos,"73,00"
2026-07-06,Metro*1t260705-Jif3,"5,40"
2026-07-06,Pagamento recebido,"- 5.530,26"
2026-07-06,Doce Delicia,"45,00"
2026-07-06,Dl*Uberrides,"18,94"
2026-07-06,Dl*Uberrides,"17,96"
2026-07-06,Metro*1t260705-Ijjz,"5,40"
2026-07-06,Mercado da Vila,"10,62"
2026-07-05,Shotgun* Alt Tab Comun,"90,00"
2026-07-05,Zp*Joice Fav60871,"100,00"
2026-07-05,Amazon - Parcela 1/12,"362,50"
2026-07-04,Dl *Uberrides,"32,94"
2026-07-04,Passaro Marron,"54,00"
2026-07-03,Zuumelycomercial - Parcela 4/4,"97,49"
2026-07-03,Parcelamento de Compra - Emporio Azuki Azuki F - 3/3,"84,43"
2026-07-03,Amazon Prime - Parcela 3/12,"13,90"
2026-07-03,Pix no Crédito - RODRIGO FERRAZ ORRU - 2/5,"11,98"
2026-07-03,Shopee *Shpstecnologia - Parcela 6/10,"25,49"
2026-07-03,Pg *Universal Music St - Parcela 7/10,"11,39"
2026-07-03,Parcelamento de Compra - Net Pgt*Fatura Claro - 4/8,"40,23"
2026-07-03,Shopee *Shpstecnologia - Parcela 6/10,"25,49"
2026-07-03,Manual Saude Brasil - Parcela 5/6,"40,50"
2026-07-03,Htm*Web Treinamentos - Parcela 5/8,"8,28"
2026-07-03,Mercado*Mercadolivre - Parcela 4/6,"36,33"
2026-07-03,World Tennis - Parcela 3/10,"55,00"
2026-07-03,Mercadolivre*Mercadol - Parcela 3/6,"36,66"
2026-07-03,Br1*Dio - Parcela 2/12,"19,90"
2026-07-03,Mercado*Topcomercio - Parcela 2/9,"2,94"
2026-07-03,Pix no Crédito - ALEXANDRE ERNESTO - 2/4,"12,02"
2026-07-03,Shopee *Supercheto - Parcela 4/9,"24,86"
2026-07-03,Mercadolivre*Mercadol - Parcela 3/12,"8,85"
2026-07-03,Lig*Domai*Ls4690381 - Parcela 2/6,"29,62"
2026-07-03,Amazon Retail Br Cpi - Parcela 1/10,"17,76"
