date,title,amount
2026-06-02,Dl *Uberrides,11.97
2026-06-02,"Estorno de ""Dl *Uberrides"" (Uber)",-10.49
2026-06-01,Dl *Uberrides,10.95
2026-06-01,Dl *Uberrides,40.47
2026-05-30,Dl*Uberrides,36.82
2026-05-30,Mercadolivre*Mercadol - Parcela 1/6,36.70
2026-05-29,Dl*Google Pokemo,1.70
2026-05-28,Dl*Uberrides,11.99
2026-05-27,Dl*Google Pokemo,1.90
2026-05-25,Dl *Uberrides,27.97
2026-05-25,Dl *Uberrides,17.95
2026-05-25,Mercado da Vila,7.65
2026-05-24,Mercadolivre*Mercadol - Parcela 1/12,8.90
2026-05-24,Shopee *Viaellabolsas,107.40
2026-05-23,Dl *Uberrides,28.96
2026-05-22,Drogaria Sao Paulo,75.59
2026-05-22,Amazon Prime - Parcela 1/12,13.90
2026-05-22,Dl*Google Google,9.99
2026-05-22,Ligiamarciadesous,16.00
2026-05-22,Dl *Uberrides,12.95
2026-05-21,Crédito de parcelamento de compra,-239.96
2026-05-21,Dl *Uberrides,9.93
2026-05-20,Oxxo Fisher,13.44
2026-05-20,Dl *Uberrides,5.00
2026-05-20,Dl *Uberrides,10.98
2026-05-20,Dl *Uberrides,13.20
2026-05-20,A.T.I. Yokoyama,6.30
2026-05-19,Dl *Uberrides,12.97
2026-05-19,Ifd*Orion I Restaurant,50.49
2026-05-19,Dl *Uberrides,9.95
2026-05-18,Dl *Uberrides,12.94
2026-05-18,Dm*Spotify,23.90
2026-05-18,Dl *Uberrides,11.93
2026-05-18,Dl *Uberrides,18.95
2026-05-18,World Tennis - Parcela 1/10,55.00
2026-05-18,Dl*Uberrides,27.99
2026-05-18,Dl *Uberrides,14.95
2026-05-18,Emporio Azuki Azuki F,239.96
2026-05-18,Bus Servicos*Clickbus,83.57
2026-05-17,Balneario Arcoverde S,150.00
2026-05-17,Drogasil3006,4.99
2026-05-17,Mercado da Vila,69.18
2026-05-17,Drogasil3006,65.16
2026-05-17,Zul 2 Cartoes 2417ib,2.00
2026-05-16,Dl *Uberrides,23.93
