date,title,amount
2026-02-02,Rancho Serrano,49.80
2026-02-01,Uber Uber *Trip Help.U,11.98
2026-01-31,D C dos Santos Eletron,29.00
2026-01-31,Uber Uber *Trip Help.U,13.99
2026-01-31,Passaro Marron - Parcela 1/3,6.08
2026-01-31,Uber Uber *Trip Help.U,12.94
2026-01-31,Uber Uber *Trip Help.U,9.94
2026-01-31,Raro,48.00
2026-01-31,Pizza Hut Center Val,35.80
2026-01-31,Uber Uber *Trip Help.U,15.95
2026-01-31,Mp *Lanchonetenov,13.50
2026-01-31,Uber Uber *Trip Help.U,7.94
2026-01-31,Passaro Marron - Parcela 1/3,6.40
2026-01-30,Uber Uber *Trip Help.U,8.99
2026-01-30,Uber Uber *Trip Help.U,10.32
2026-01-30,Oxxo Fisher,7.79
2026-01-30,Lojas Teddy,24.99
2026-01-30,Agrotaubate Racoes,39.90
2026-01-29,A.T.I. Yokoyama,3.00
2026-01-29,Oxxo Fisher,7.00
2026-01-28,Zul 5 Cartoes 1vx6h9,5.00
2026-01-28,49.024.554 Tamires dos,40.00
2026-01-28,Supermercado Shibata,9.28
2026-01-26,Marvtaubate,48.00
2026-01-26,Filial - Tau*Kalunga,16.40
2026-01-24,Uber Uber *Trip Help.U,9.94
2026-01-24,Uber Uber *Trip Help.U,13.93
2026-01-23,Oxxo Fisher,11.58
2026-01-22,Ligiamarciadesous,10.50
2026-01-22,Uber Uber *Trip Help.U,11.91
2026-01-22,Uber Uber *Trip Help.U,10.96
2026-01-22,Oxxo Fisher,9.00
2026-01-22,Dl*Google Google,9.99
2026-01-21,Uber Uber *Trip Help.U,9.96
2026-01-21,Mp *Lanchonete,17.00
2026-01-20,Ligiamarciadesous,11.00
2026-01-20,A.T.I. Yokoyama,17.20
2026-01-19,Uber Uber *Trip Help.U,9.96
2026-01-18,Oxxo Fisher,10.99
2026-01-18,Uber Uber *Trip Help.U,9.92
2026-01-18,Ebn *Spotify,23.90
2026-01-18,Nsa Roseira Comercio D,40.00
2026-01-17,Uber Uber *Trip Help.U,9.97
2026-01-17,Nsa Roseira Comercio D,40.00
2026-01-16,Ebn*Sonyplaystatn - Parcela 1/4,5.55
2026-01-16,Ligiamarciadesous,11.00
2026-01-15,Supermercado Bacana,21.96
2026-01-15,Uber Uber *Trip Help.U,3.00
2026-01-15,Supermercado Bacana,9.95
2026-01-15,Uber Uber *Trip Help.U,9.99
2026-01-15,Uber Uber *Trip Help.U,3.00
2026-01-15,Panobiancos Academia,129.90
2026-01-14,Oxxo Fisher,43.06
2026-01-14,Dl *Uber*Rides,11.96
2026-01-13,Ligiamarciadesous,15.50
2026-01-13,Christianrafael,14.00
2026-01-12,Ec *Melimais,9.90
2026-01-12,Pedeacai,25.00
2026-01-11,Oxxo Fisher,17.78
2026-01-11,Drogasil2422,30.88
2026-01-11,Oxxo Fisher,15.28
2026-01-10,Panobiancos Academia -,8.00
2026-01-10,Rafael Fonseca dos Anjos,156.76
2026-01-10,Paulo Tiburcio - 1/3,10.87
2026-01-10,Mercadolivre*Mercadol,39.90
2026-01-10,Lojas Americanas,35.99
2026-01-10,Pg *Nuvem Meiaselite,54.53
2026-01-09,Mercadolivre*2produto,201.04
2026-01-09,Oxxo Fisher,26.27
2026-01-09,"Estorno de ""Amazonmktplc*Donptkdis""",-35.40
2026-01-08,Ppro*Microsoft,51.00
2026-01-08,Pagamento recebido,-2238.85
2026-01-07,Oxxo Fisher,10.99
2026-01-07,Oxxo Fisher,6.79
2026-01-06,Lojas Americanas,15.51
2026-01-06,Pizzaria Vila Velha,78.80
2026-01-06,Pg *Universal Music St - Parcela 1/10,11.43
2026-01-06,Amazonmktplc*Donptkdis - Parcela 1/2,35.40
2026-01-06,Oxxo Fisher,23.48
2026-01-05,Oxxo Fisher,25.76
2026-01-04,Uber Uber *Trip Help.U,10.47
2026-01-04,Uber Uber *Trip Help.U,9.67
2026-01-03,MARIA ISABEL PEREIRA - 2/3,10.74
2026-01-03,Mercadolivre*Alan - Parcela 2/6,22.15
2026-01-03,Shein *Sheincom - Parcela 2/3,77.45
2026-01-03,Amazonmktplc*Anamariad - Parcela 8/10,191.54
2026-01-03,DIEGO FRANCISCO ALVES MORGADO - 2/3,34.61
2026-01-03,MARIA ISABEL PEREIRA - 2/3,10.65
2026-01-03,Dlocal *Ebanx - Parcela 10/10,20.06
2026-01-03,Mercadolivre*Joaofern - Parcela 12/12,16.65
2026-01-03,Mp *Orion - Parcela 7/12,134.99
2026-01-03,Paulo Tiburcio - 2/3,10.59
2026-01-03,MARIA ISABEL PEREIRA - 3/3,11.09
2026-01-03,Oxxo Fisher,16.07
2026-01-03,Mercadolivre*Arteuniv - Parcela 4/5,9.20
2026-01-03,Amazon Prime - Parcela 9/12,13.90
2026-01-03,Shein *Orivaldo Doniz - Parcela 2/3,25.43
2026-01-03,Shopee *Lookstreetwear - Parcela 2/3,15.37
2026-01-03,Ebn *Temu Com - Parcela 6/6,21.15
2026-01-03,Oxxo Fisher,10.99
